代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
sz300717,300717,华信新材,18.46,-0.63,-3.3,18.450,18.460,19.09,19.2,19.4,18.28,1988400,36955251,16:29:15,34.185,2.561,189722.65,188021.3764,1.95222,深交所
sz002474,002474,榕基软件,7.03,-0.24,-3.301,7.020,7.030,7.27,7.27,7.39,6.98,38050185,270225016,15:00:00,-63.851,3.317,437406.6,371769.006371,7.19513,深交所
sz002566,002566,益盛药业,7.03,-0.24,-3.301,7.020,7.030,7.27,7.27,7.34,7.01,6202100,44175786,15:00:00,80.251,1.035,232658.9748,162948.699004,2.67574,深交所
sh603136,603136,天目湖,9.37,-0.32,-3.302,9.370,9.380,9.69,9.7,9.7,9.33,4189223,39515352,15:00:02,26.771,1.832,253108.72727,253108.72727,1.55084,上交所
sz300129,300129,泰胜风能,10.25,-0.35,-3.302,10.240,10.250,10.6,10.41,10.55,10.09,30180282,308951403,16:30:00,44.662,1.971,1136574.576125,736677.94065,4.19923,深交所
sz000507,000507,珠海港,5.27,-0.18,-3.303,5.260,5.270,5.45,5.38,5.38,5.23,21164007,111780588,15:00:00,22.416,0.811,484700.289665,475540.797785,2.34542,深交所
sh603366,603366,日出东方,7.61,-0.26,-3.304,7.610,7.620,7.87,7.84,7.84,7.6,9305900,71324313,15:00:03,35.428,1.444,618729.604861,618729.604861,1.14457,上交所
sh600051,600051,宁波联合,6.73,-0.23,-3.305,6.720,6.730,6.96,6.95,7.01,6.69,6753600,45795249,15:00:02,24.926,0.612,209222.24,209222.24,2.17241,上交所
sz002373,002373,千方科技,7.9,-0.27,-3.305,7.900,7.910,8.17,8.16,8.18,7.89,31399250,250235210,15:00:00,46.471,1.084,1248348.68985,1088293.90854,2.27929,深交所
sz002950,002950,奥美医疗,9.65,-0.33,-3.307,9.650,9.660,9.98,10.01,10.01,9.6,9333706,90724738,15:00:00,23.993,1.653,611101.117755,414584.511075,2.17254,深交所
bj920021,920021,流金科技,9.06,-0.31,-3.308,9.060,9.070,9.37,9.3,9.44,8.78,19066451,171738632,15:30:02,302.0,4.313,279953.984598,224284.533738,7.70192,北交所
sz300477,300477,ST合纵,2.63,-0.09,-3.309,2.630,2.640,2.72,2.7,2.71,2.6,30501438,80695728,16:29:30,-3.152,33.979,281940.914681,261803.757124,3.06408,深交所
sz300112,300112,万讯自控,7.01,-0.24,-3.31,7.010,7.030,7.25,7.34,7.38,6.98,8217998,58151926,16:29:30,-29.208,2.192,203448.351694,166561.81301,3.45867,深交所
sz002459,002459,晶澳科技,8.76,-0.3,-3.311,8.760,8.770,9.06,9.07,9.09,8.69,57365968,504473849,15:00:00,-6.213,1.395,2899308.566976,2895862.178868,1.73532,深交所
sz300288,300288,朗玛信息,10.22,-0.35,-3.311,10.210,10.220,10.57,10.56,10.57,10.16,5412600,55599912,16:29:15,340.667,3.198,345376.112844,262213.917602,2.1096,深交所
sz300204,300204,舒泰神,23.93,-0.82,-3.313,23.920,23.930,24.75,24.56,24.7,23.41,21041912,503040225,16:29:45,-149.563,14.118,1143309.724115,1085619.150893,4.63821,深交所
sz300958,300958,建工修复,12.83,-0.44,-3.316,12.830,12.840,13.27,13.25,13.3,12.72,3171178,40987143,16:29:00,-23.759,1.663,201093.030857,116816.414841,3.48292,深交所
sh603017,603017,中衡设计,11.66,-0.4,-3.317,11.650,11.660,12.06,12.0,12.05,11.51,7183700,83903606,15:00:01,64.778,2.157,322037.881638,322037.881638,2.601,上交所
sh688793,688793,倍轻松,18.63,-0.64,-3.321,18.630,18.690,19.27,19.01,20.06,18.46,2664260,50445672,15:00:03,-15.923,7.185,160116.315597,160116.315597,3.09994,上交所
sz300844,300844,山水比德,27.07,-0.93,-3.321,27.070,27.080,28.0,28.01,28.65,26.31,1973236,53696189,16:29:00,-93.765,3.298,252321.85216,243226.33216,2.19612,深交所
sh603178,603178,圣龙股份,17.17,-0.59,-3.322,17.170,17.180,17.76,18.13,18.2,16.97,9858664,170992842,15:00:02,-19.292,3.546,405919.199677,405919.199677,4.17012,上交所
sz301551,301551,无线传媒,24.42,-0.84,-3.325,24.410,24.420,25.26,25.04,25.24,24.31,4503172,110809711,16:29:15,37.345,3.873,976824.42,377420.18424,2.91366,深交所
sh600399,600399,抚顺特钢,4.65,-0.16,-3.326,4.640,4.650,4.81,4.82,4.84,4.61,44961039,210017471,15:00:03,-11.341,1.708,917026.5,917026.5,2.27986,上交所
sz002671,002671,龙泉股份,4.36,-0.15,-3.326,4.360,4.370,4.51,4.52,4.55,4.33,16779400,73797513,15:00:00,48.444,1.497,245566.686856,240538.648528,3.04143,深交所
